epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,8.2888,1.01751,1.0645,1.12553,0.96987,0.89202,0.9521,0.67897,0.88288,0.92899,1.01945,0.00140295,0.00140295,0.00140295
18,8.74314,1.03423,1.0273,1.1234,0.8592,0.77698,0.96607,0.74064,0.79465,1.12894,0.9946,0.00138644,0.00138644,0.00138644
19,9.27107,1.05605,1.04834,1.1415,0.83713,0.8417,0.957,0.76638,0.75677,1.07989,0.96902,0.00136994,0.00136994,0.00136994
20,9.73217,0.95434,0.98991,1.075,0.86104,0.86796,0.97716,0.75806,0.80917,1.05003,0.96772,0.00135344,0.00135344,0.00135344
21,10.1677,0.94771,0.94612,1.07053,0.89788,0.90909,0.95432,0.69873,0.81315,0.99657,0.98275,0.00133693,0.00133693,0.00133693
22,10.6466,0.9662,0.972,1.13406,0.91866,0.91412,0.96787,0.80042,0.72139,0.83029,0.93751,0.00132043,0.00132043,0.00132043
23,11.0826,1.04958,0.98759,1.10592,0.91346,0.93949,0.96334,0.79243,0.68778,0.84698,0.92794,0.00130393,0.00130393,0.00130393
24,11.517,0.95886,0.97625,1.07888,0.91862,0.93905,0.96656,0.77074,0.67368,0.86536,0.92053,0.00128742,0.00128742,0.00128742
25,11.9433,0.92009,0.93373,1.0764,0.98605,0.92677,0.97962,0.76049,0.70677,0.81016,0.92907,0.00127092,0.00127092,0.00127092
26,12.4795,0.92481,0.92816,1.06965,0.99244,0.97222,0.9925,0.73708,0.77917,0.72836,0.92899,0.00125442,0.00125442,0.00125442
27,12.9093,0.92854,0.88971,1.07511,0.99197,0.97222,0.99143,0.72521,0.77401,0.73538,0.93621,0.00123791,0.00123791,0.00123791
28,13.3347,0.95607,0.96125,1.11689,0.96488,0.97222,0.9925,0.76986,0.71075,0.73532,0.92057,0.00122141,0.00122141,0.00122141
29,13.7782,0.92296,0.92187,1.09151,0.96504,0.97222,0.99083,0.79457,0.71517,0.69884,0.92475,0.00120491,0.00120491,0.00120491
30,14.2129,0.92418,0.91938,1.09807,0.96261,0.92677,0.96907,0.77034,0.7279,0.71501,0.92024,0.0011884,0.0011884,0.0011884
31,14.6519,0.93872,0.91867,1.07108,0.95994,0.92677,0.97095,0.77009,0.73261,0.72362,0.92521,0.0011719,0.0011719,0.0011719
32,15.0853,0.93752,0.96484,1.08506,0.96078,0.92677,0.98098,0.79687,0.75589,0.71338,0.9347,0.0011554,0.0011554,0.0011554
33,15.605,0.86068,0.8886,1.03427,0.93826,0.9891,0.98944,0.81127,0.73725,0.70245,0.94055,0.00113889,0.00113889,0.00113889
34,16.0509,0.89021,0.90428,1.05233,0.97027,0.95619,0.995,0.79589,0.71652,0.61732,0.90424,0.00112239,0.00112239,0.00112239
35,16.4869,0.82257,0.81126,1.02742,0.97863,0.95316,0.995,0.79308,0.69985,0.61781,0.90636,0.00110589,0.00110589,0.00110589
36,16.9146,0.84973,0.83178,1.06648,0.97476,0.98436,0.995,0.78051,0.70228,0.62574,0.90982,0.00108938,0.00108938,0.00108938
37,17.345,0.84208,0.85575,1.04839,0.97787,1,0.995,0.78846,0.69874,0.61206,0.9173,0.00107288,0.00107288,0.00107288
38,17.7829,0.90892,0.86812,1.04376,0.99385,0.99659,0.995,0.78125,0.73468,0.62286,0.93696,0.00105638,0.00105638,0.00105638
39,18.2157,0.86388,0.80956,1.04606,0.99381,0.98935,0.995,0.77399,0.75356,0.63183,0.94524,0.00103987,0.00103987,0.00103987
40,18.6457,0.85554,0.8193,1.02117,0.97826,0.96322,0.99368,0.75679,0.73886,0.60815,0.94109,0.00102337,0.00102337,0.00102337
41,19.176,0.90651,0.9369,1.08323,0.97845,0.88131,0.98393,0.75341,0.75496,0.61287,0.93912,0.00100687,0.00100687,0.00100687
42,19.6162,0.88514,0.80928,1.05706,0.95827,0.88131,0.97777,0.79578,0.61148,0.60069,0.89461,0.000990365,0.000990365,0.000990365
43,20.0539,0.8066,0.78093,1.02568,0.94156,0.9214,0.98264,0.79872,0.62156,0.59427,0.89444,0.000973861,0.000973861,0.000973861
44,20.4844,0.83112,0.79636,1.0396,0.96218,0.92467,0.98768,0.79333,0.62207,0.59892,0.89726,0.000957358,0.000957358,0.000957358
45,20.9329,0.8048,0.73057,1.0172,0.98541,0.92677,0.98875,0.80877,0.66294,0.59752,0.90433,0.000940855,0.000940855,0.000940855
46,21.3772,0.88765,0.89424,1.054,0.97367,0.99711,0.99368,0.78186,0.6952,0.59885,0.92627,0.000924352,0.000924352,0.000924352
47,21.8156,0.85972,0.78782,1.06694,0.96956,0.99102,0.99368,0.79345,0.66033,0.61155,0.91505,0.000907848,0.000907848,0.000907848
48,22.3345,0.84196,0.84504,1.04349,0.98129,0.93229,0.99143,0.80938,0.62942,0.57104,0.90861,0.000891345,0.000891345,0.000891345
49,22.7766,0.8366,0.78234,1.05161,0.96858,0.96406,0.99143,0.79461,0.65939,0.56112,0.92728,0.000874842,0.000874842,0.000874842
50,23.2194,0.8194,0.81562,1.05586,0.96958,0.97384,0.99368,0.79617,0.70667,0.56276,0.94828,0.000858338,0.000858338,0.000858338
51,23.6657,0.85283,0.82484,1.05402,0.97015,0.96678,0.99368,0.81066,0.68739,0.54254,0.9309,0.000841835,0.000841835,0.000841835
52,24.0944,0.86091,0.77441,1.05933,0.9697,0.9591,0.99368,0.82141,0.71245,0.55608,0.92612,0.000825332,0.000825332,0.000825332
53,24.5691,0.88878,0.80459,1.0735,0.96056,0.95814,0.99368,0.82488,0.71616,0.57687,0.92715,0.000808828,0.000808828,0.000808828
54,25.0284,0.78208,0.78907,1.03366,0.9689,0.96442,0.99368,0.82603,0.62867,0.56455,0.91262,0.000792325,0.000792325,0.000792325
55,25.4903,0.81676,0.77529,1.01716,0.9666,0.99869,0.995,0.81826,0.65215,0.54335,0.91847,0.000775822,0.000775822,0.000775822
56,26.0151,0.80044,0.71545,1.02342,0.99658,0.99654,0.995,0.81096,0.6927,0.52484,0.92745,0.000759318,0.000759318,0.000759318
57,26.4519,0.77661,0.69547,1.02464,0.99728,0.99856,0.995,0.79752,0.66924,0.52827,0.92031,0.000742815,0.000742815,0.000742815
58,26.8947,0.78099,0.77959,1.05748,0.95423,0.9968,0.99211,0.82617,0.66032,0.52539,0.89586,0.000726312,0.000726312,0.000726312
59,27.3339,0.76862,0.71993,0.99746,0.93455,0.99518,0.99211,0.83862,0.65757,0.52842,0.89127,0.000709809,0.000709809,0.000709809
60,27.7615,0.81788,0.74004,1.05521,0.93054,0.99323,0.98632,0.81147,0.63856,0.5522,0.89122,0.000693305,0.000693305,0.000693305
61,28.2015,0.76465,0.70104,1.02482,0.94559,0.90909,0.962,0.79271,0.63051,0.57282,0.8923,0.000676802,0.000676802,0.000676802
62,28.6407,0.74926,0.70738,1.01841,0.94476,0.90909,0.94827,0.79236,0.69993,0.57807,0.914,0.000660299,0.000660299,0.000660299
63,29.163,0.7327,0.72177,1.04566,0.94151,0.90909,0.94789,0.78185,0.71151,0.58211,0.9241,0.000643795,0.000643795,0.000643795
64,29.5959,0.75679,0.70608,1.0219,0.94085,0.90909,0.96118,0.79216,0.72832,0.60031,0.92877,0.000627292,0.000627292,0.000627292
65,30.0446,0.79855,0.72001,1.05053,0.9438,0.90909,0.97266,0.80163,0.72178,0.58992,0.91228,0.000610789,0.000610789,0.000610789
66,30.4914,0.74406,0.69521,1.01326,0.9307,0.95163,0.98546,0.80248,0.72217,0.55,0.92165,0.000594286,0.000594286,0.000594286
67,30.9159,0.78014,0.67781,1.01205,0.93774,0.95185,0.98993,0.81224,0.72667,0.54036,0.93532,0.000577782,0.000577782,0.000577782
68,31.3529,0.79004,0.68089,1.06018,0.93101,0.99413,0.99368,0.8212,0.71317,0.51267,0.93708,0.000561279,0.000561279,0.000561279
69,31.795,0.74312,0.69362,1.01335,0.93506,0.99476,0.99368,0.82607,0.69424,0.50526,0.93162,0.000544776,0.000544776,0.000544776
70,32.3184,0.75455,0.63703,1.01042,0.94242,0.99657,0.995,0.82974,0.67978,0.47371,0.92252,0.000528272,0.000528272,0.000528272
71,32.7573,0.71671,0.67071,0.995,0.94261,0.95249,0.98993,0.82744,0.65214,0.49445,0.91184,0.000511769,0.000511769,0.000511769
72,33.1923,0.75326,0.68059,1.01233,0.93176,0.95177,0.98708,0.82394,0.63859,0.51801,0.90665,0.000495266,0.000495266,0.000495266
73,33.6281,0.69528,0.63169,0.99689,0.93019,0.94082,0.96886,0.79913,0.6351,0.54468,0.90419,0.000478762,0.000478762,0.000478762
74,34.073,0.70155,0.6546,1.00756,0.93319,0.90703,0.9491,0.77424,0.63633,0.57121,0.90601,0.000462259,0.000462259,0.000462259
75,34.5064,0.71886,0.70502,1.01125,0.94698,0.9334,0.96279,0.78349,0.6392,0.55666,0.90784,0.000445756,0.000445756,0.000445756
76,34.9395,0.72556,0.70532,1.02655,0.92072,0.97608,0.99083,0.81455,0.64062,0.52733,0.90704,0.000429253,0.000429253,0.000429253
77,35.3874,0.74107,0.65486,1.02059,0.93032,0.99044,0.9925,0.81438,0.64476,0.52286,0.90323,0.000412749,0.000412749,0.000412749
78,35.9235,0.72933,0.65846,1.02221,0.97292,0.99705,0.99368,0.81103,0.64231,0.49839,0.9063,0.000396246,0.000396246,0.000396246
79,36.358,0.6885,0.60138,0.99337,0.98028,0.96928,0.99368,0.80712,0.64626,0.4864,0.9094,0.000379743,0.000379743,0.000379743
80,36.7882,0.67788,0.61409,0.96347,0.98869,0.97222,0.99368,0.80115,0.65714,0.47756,0.91334,0.000363239,0.000363239,0.000363239
81,37.2492,0.72746,0.65954,1.00308,0.99172,0.97222,0.99368,0.79099,0.69727,0.47347,0.92301,0.000346736,0.000346736,0.000346736
82,37.6878,0.60839,0.57706,0.98959,1,0.99914,0.995,0.78111,0.73031,0.48155,0.93579,0.000330233,0.000330233,0.000330233
83,38.1261,0.71147,0.65614,1.01295,1,0.97563,0.995,0.80069,0.69461,0.48776,0.92805,0.000313729,0.000313729,0.000313729
84,38.5743,0.70729,0.63025,1.01275,0.97138,0.96836,0.99368,0.81765,0.64306,0.49582,0.91534,0.000297226,0.000297226,0.000297226
85,39.1032,0.69354,0.63762,1.0015,0.93148,0.99202,0.9925,0.82562,0.61615,0.48883,0.90305,0.000280723,0.000280723,0.000280723
86,39.5418,0.66026,0.58198,0.99171,0.93047,0.99379,0.9925,0.82788,0.63374,0.48587,0.90386,0.00026422,0.00026422,0.00026422
87,39.9739,0.6825,0.59703,0.98163,0.92993,0.98864,0.9925,0.83399,0.636,0.49373,0.9083,0.000247716,0.000247716,0.000247716
88,40.3953,0.72927,0.65723,1.03969,0.9294,0.98437,0.99368,0.8227,0.63625,0.50183,0.91083,0.000231213,0.000231213,0.000231213
89,40.8319,0.70385,0.6151,1.01273,0.92964,0.98428,0.99368,0.80396,0.65175,0.49958,0.91531,0.00021471,0.00021471,0.00021471
90,41.2838,0.68197,0.59881,1.00138,0.92713,0.98241,0.99368,0.80294,0.64961,0.4989,0.91871,0.000198206,0.000198206,0.000198206
91,42.1727,0.52915,0.59678,0.88681,0.92931,0.98588,0.99368,0.80978,0.63777,0.48596,0.91798,0.000181703,0.000181703,0.000181703
92,42.6305,0.52491,0.57535,0.89669,0.92941,0.98488,0.99211,0.81532,0.62951,0.49701,0.91857,0.0001652,0.0001652,0.0001652
93,43.1906,0.51338,0.56542,0.8688,0.92998,0.98836,0.99211,0.81228,0.63209,0.51378,0.91889,0.000148696,0.000148696,0.000148696
94,43.6559,0.48727,0.54533,0.8685,0.93056,0.99403,0.99211,0.8283,0.64682,0.52653,0.92,0.000132193,0.000132193,0.000132193
95,44.1059,0.49657,0.57524,0.86562,0.93031,0.99164,0.99211,0.82526,0.64498,0.53079,0.91961,0.00011569,0.00011569,0.00011569
96,44.5465,0.50737,0.57686,0.87191,0.93064,0.99041,0.99211,0.82479,0.64042,0.53106,0.91903,9.91865e-05,9.91865e-05,9.91865e-05
97,44.9922,0.50728,0.56266,0.86927,0.93038,0.98823,0.99211,0.82538,0.63399,0.53109,0.9177,8.26832e-05,8.26832e-05,8.26832e-05
98,45.4403,0.49383,0.55193,0.85257,0.9306,0.99069,0.99211,0.81859,0.63353,0.51607,0.91729,6.61799e-05,6.61799e-05,6.61799e-05
99,45.8972,0.48225,0.55492,0.88145,0.93043,0.99136,0.99211,0.81511,0.63726,0.5155,0.91658,4.96766e-05,4.96766e-05,4.96766e-05
100,46.3365,0.47342,0.53953,0.86128,0.93039,0.99152,0.99211,0.80833,0.63746,0.51656,0.91747,3.31733e-05,3.31733e-05,3.31733e-05
