epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.853772,1.29357,2.89378,1.27067,0.0065,1,0.64361,0.4755,0.70828,2.66447,0.86125,0.00015003,0.00015003,0.00015003
2,1.32981,1.07084,2.83057,1.1519,0.0077,1,0.87722,0.66364,0.63046,2.66127,0.836,0.000313594,0.000313594,0.000313594
3,1.80209,1.01167,2.40419,1.07314,0.00685,1,0.92234,0.67377,0.69252,2.59487,0.85203,0.000473858,0.000473858,0.000473858
4,2.3776,1.03796,2.0721,1.07963,0.00706,1,0.91288,0.68472,0.70085,2.42598,0.85169,0.000630821,0.000630821,0.000630821
5,2.84877,1.06144,1.74262,1.11759,0.95579,0.42217,0.87581,0.68193,0.72279,2.03258,0.89393,0.000784484,0.000784484,0.000784484
6,3.30149,1.15216,1.6666,1.20081,0.9121,0.6537,0.91652,0.71944,0.81888,1.76596,0.95324,0.000934845,0.000934845,0.000934845
7,3.76017,1.10445,1.42255,1.16559,0.81717,0.69697,0.86271,0.61613,1.01548,1.65476,0.99694,0.00108191,0.00108191,0.00108191
8,4.20873,1.19023,1.38953,1.22366,0.79863,0.8608,0.88768,0.66034,0.86339,1.18716,0.96561,0.00122567,0.00122567,0.00122567
9,4.65046,1.16226,1.38185,1.23296,0.88635,0.90909,0.93601,0.65243,1.05396,1.09919,1.05548,0.00136613,0.00136613,0.00136613
10,5.10359,1.0918,1.24387,1.18677,0.74979,0.64153,0.85693,0.66809,0.84022,1.42049,0.95717,0.00150329,0.00150329,0.00150329
11,5.55351,1.10741,1.27154,1.18512,0.68167,0.8515,0.88231,0.6624,0.89905,1.38899,0.97925,0.00150197,0.00150197,0.00150197
12,6.07123,1.10564,1.17428,1.16456,0.92036,0.80635,0.94609,0.74821,0.87625,1.11467,0.97212,0.00148546,0.00148546,0.00148546
13,6.52456,1.1104,1.18421,1.18065,0.97076,0.81213,0.97215,0.75021,0.89556,1.31398,0.9867,0.00146896,0.00146896,0.00146896
14,6.98577,1.09723,1.15741,1.19913,0.76431,0.88131,0.90266,0.69761,0.92546,1.2695,0.99328,0.00145246,0.00145246,0.00145246
15,7.41527,1.04632,1.14392,1.1491,0.89145,0.90326,0.95419,0.71925,0.86123,0.95784,0.97972,0.00143595,0.00143595,0.00143595
16,7.85621,1.03164,1.11098,1.1286,0.89142,0.88756,0.95308,0.69848,0.81371,0.94347,0.9822,0.00141945,0.00141945,0.00141945
