epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,49.8257,1.09009,1.40269,1.58544,0.86229,0.98594,0.98018,0.63832,1.26155,1.1558,1.67835,0.000990365,0.000990365,0.000990365
43,50.9527,1.01816,1.39707,1.51007,0.95437,0.94589,0.98564,0.66075,1.13565,1.10415,1.57606,0.000973861,0.000973861,0.000973861
44,52.0755,1.01184,1.37302,1.49246,0.9127,0.95224,0.98607,0.66831,1.07939,1.04288,1.52585,0.000957358,0.000957358,0.000957358
45,53.178,0.93562,1.25246,1.44683,0.88737,0.99032,0.98651,0.67524,1.10744,1.03924,1.54501,0.000940855,0.000940855,0.000940855
46,54.3105,1.094,1.45399,1.55373,0.91273,0.91729,0.98184,0.66954,1.19076,1.09249,1.68391,0.000924352,0.000924352,0.000924352
47,55.5173,1.06297,1.40037,1.57945,0.8881,0.94356,0.95545,0.65973,1.25342,1.13521,1.6927,0.000907848,0.000907848,0.000907848
48,56.6286,1.00966,1.3169,1.52462,0.96951,0.92443,0.9805,0.6793,1.03605,1.01329,1.46684,0.000891345,0.000891345,0.000891345
49,57.7374,0.96813,1.21122,1.46891,0.97238,0.92032,0.96634,0.68395,1.04793,0.91647,1.55537,0.000874842,0.000874842,0.000874842
50,58.8663,0.98424,1.23691,1.55758,0.99043,0.96556,0.98023,0.67367,1.04353,0.84957,1.61016,0.000858338,0.000858338,0.000858338
51,59.9761,1.0085,1.22451,1.48767,0.92089,1,0.98993,0.66967,1.01181,0.88729,1.54139,0.000841835,0.000841835,0.000841835
52,61.1008,0.97861,1.15498,1.45216,0.93345,0.95455,0.98575,0.69752,1.0492,0.90498,1.55293,0.000825332,0.000825332,0.000825332
53,62.2192,0.98794,1.20236,1.43574,0.95609,0.94856,0.98546,0.66265,1.11834,0.94288,1.60502,0.000808828,0.000808828,0.000808828
54,63.359,0.93499,1.21057,1.45361,0.96317,0.99282,0.99368,0.7065,1.0162,0.81022,1.46425,0.000792325,0.000792325,0.000792325
55,64.5813,0.92171,1.12465,1.40679,0.99197,0.97222,0.98875,0.71413,0.93903,0.76471,1.41506,0.000775822,0.000775822,0.000775822
56,65.7241,0.91992,1.04091,1.41181,0.97881,0.96197,0.98071,0.72708,0.98827,0.7276,1.47673,0.000759318,0.000759318,0.000759318
57,66.8346,0.96231,1.06514,1.46721,0.97839,0.9208,0.97492,0.71339,1.01488,0.72954,1.49357,0.000742815,0.000742815,0.000742815
58,67.9628,0.91641,1.20975,1.51158,0.94815,0.87758,0.96156,0.72471,1.03926,0.73022,1.51664,0.000726312,0.000726312,0.000726312
59,69.0617,0.85973,1.05758,1.35814,0.90746,0.92175,0.96927,0.71902,1.00844,0.8011,1.46651,0.000709809,0.000709809,0.000709809
60,70.1786,0.98074,1.05256,1.44094,0.92499,0.8843,0.96108,0.68418,1.09904,0.82291,1.51438,0.000693305,0.000693305,0.000693305
61,71.2928,0.87534,1.01924,1.37572,0.91047,0.88131,0.95483,0.65493,1.11278,0.82411,1.53619,0.000676802,0.000676802,0.000676802
62,72.5215,0.87655,1.0333,1.39453,0.88054,0.87883,0.92822,0.67346,1.09996,0.88964,1.48541,0.000660299,0.000660299,0.000660299
63,73.6231,1.00293,1.13415,1.49078,0.87434,0.90282,0.92696,0.6838,1.08613,0.92302,1.47084,0.000643795,0.000643795,0.000643795
64,74.7491,0.92574,1.04349,1.40222,0.87125,0.88493,0.92189,0.65633,1.09231,0.88256,1.46918,0.000627292,0.000627292,0.000627292
65,75.8515,0.92491,1.04986,1.45622,0.82885,0.88131,0.91812,0.64135,1.05824,0.91224,1.44159,0.000610789,0.000610789,0.000610789
66,76.9732,0.81549,1.01354,1.38389,0.89996,0.81662,0.92514,0.66726,1.05264,0.82736,1.45006,0.000594286,0.000594286,0.000594286
67,78.075,0.83344,1.02794,1.35341,0.93109,0.85463,0.93617,0.68712,1.04115,0.79147,1.45911,0.000577782,0.000577782,0.000577782
68,79.191,0.83789,0.98673,1.42016,0.91419,0.90173,0.94169,0.70008,1.01758,0.7598,1.41578,0.000561279,0.000561279,0.000561279
69,80.4019,0.88281,1.03057,1.39731,0.96108,0.85354,0.94953,0.71977,0.98242,0.73259,1.37521,0.000544776,0.000544776,0.000544776
70,81.5239,0.79809,0.90216,1.29607,0.92587,0.90596,0.9611,0.72703,0.95391,0.66475,1.39995,0.000528272,0.000528272,0.000528272
