epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,126.034,1.52099,2.43084,1.71519,0.74955,0.71717,0.82616,0.43139,1.90277,1.88065,1.90113,0.000990365,0.000990365,0.000990365
43,128.9,1.46275,2.39117,1.6276,0.77583,0.73975,0.85001,0.41692,2.14632,1.82116,2.23163,0.000973861,0.000973861,0.000973861
44,131.405,1.43001,2.27483,1.70518,0.7404,0.78801,0.85563,0.41031,2.35825,1.70506,2.57444,0.000957358,0.000957358,0.000957358
45,134.253,1.31916,2.0715,1.66743,0.80289,0.74242,0.85821,0.43999,2.29114,1.59124,2.71402,0.000940855,0.000940855,0.000940855
46,136.768,1.51785,2.32297,1.75423,0.92301,0.75526,0.8959,0.47691,1.87254,1.27768,2.38287,0.000924352,0.000924352,0.000924352
47,139.804,1.51475,2.32477,1.7087,0.75717,0.83011,0.86263,0.48231,2.04194,1.33552,2.32275,0.000907848,0.000907848,0.000907848
48,142.614,1.39122,2.25861,1.79588,0.75535,0.77479,0.83377,0.46629,2.11636,1.44859,2.33278,0.000891345,0.000891345,0.000891345
49,145.87,1.42926,2.20039,1.67323,0.68269,0.74242,0.73483,0.39001,1.97769,1.42348,2.14372,0.000874842,0.000874842,0.000874842
50,148.738,1.44763,2.16102,1.67903,0.76524,0.80107,0.81656,0.45439,1.78619,1.19502,1.92626,0.000858338,0.000858338,0.000858338
51,151.979,1.38235,2.03263,1.66984,0.81343,0.84343,0.86176,0.48184,1.69376,1.08322,1.92201,0.000841835,0.000841835,0.000841835
52,154.781,1.3103,1.83308,1.59371,0.81547,0.76463,0.85047,0.50756,1.74739,1.03196,1.95275,0.000825332,0.000825332,0.000825332
53,158.065,1.4356,1.99923,1.65829,0.76149,0.80899,0.84955,0.5158,1.72551,1.06785,1.93967,0.000808828,0.000808828,0.000808828
54,160.919,1.36023,2.04709,1.66597,0.78558,0.62328,0.79887,0.46829,1.74964,1.18513,2.14959,0.000792325,0.000792325,0.000792325
55,164.147,1.28841,1.82166,1.69213,0.95639,0.62374,0.80135,0.46935,1.87265,1.11297,2.33268,0.000775822,0.000775822,0.000775822
56,166.981,1.29616,1.76627,1.65323,0.93573,0.71562,0.81124,0.45735,1.84463,1.05555,2.25796,0.000759318,0.000759318,0.000759318
57,170.172,1.31776,1.78175,1.62459,0.9821,0.7073,0.85477,0.5077,1.72472,1.00835,1.95633,0.000742815,0.000742815,0.000742815
58,172.878,1.35713,1.9754,1.61641,0.83017,0.87121,0.91796,0.56288,1.64464,0.91691,1.80546,0.000726312,0.000726312,0.000726312
59,176.142,1.18136,1.79383,1.55309,0.81713,0.82576,0.89795,0.56635,1.61655,0.93213,1.86082,0.000709809,0.000709809,0.000709809
60,179.001,1.33621,1.72011,1.53347,0.82017,0.70707,0.84509,0.50788,1.66197,0.99327,1.88418,0.000693305,0.000693305,0.000693305
61,181.922,1.21815,1.70176,1.58959,0.8442,0.77248,0.8553,0.50385,1.70526,1.00529,1.92486,0.000676802,0.000676802,0.000676802
62,184.501,1.22931,1.66285,1.64108,0.8037,0.88131,0.92172,0.51943,1.77536,1.00352,1.82433,0.000660299,0.000660299,0.000660299
63,187.398,1.50418,1.97496,1.66582,0.76368,0.86466,0.89954,0.47928,1.86353,1.06033,1.90591,0.000643795,0.000643795,0.000643795
64,189.951,1.29567,1.65449,1.55591,0.83178,0.61101,0.79735,0.40343,1.98267,1.21119,2.16893,0.000627292,0.000627292,0.000627292
65,192.849,1.30319,1.76188,1.58815,0.85415,0.71066,0.85357,0.45122,1.92714,1.12598,2.19103,0.000610789,0.000610789,0.000610789
